time 	 pedal_angle(deg) 	 bike speed(km/h) 	 distance(m) 	 cadence(rpm) 	 HR (BPM) 
0.002 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.003 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.009 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.010 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.012 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.015 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.017 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.020 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.023 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.025 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.026 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.028 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.031 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.038 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.039 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.042 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.046 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.048 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.050 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.060 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.062 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.065 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.067 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.069 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.091 	 359.8 	 -0.0 	 -0.0 	 0.1 	 73 
0.100 	 359.8 	 -0.0 	 -0.0 	 0.1 	 73 
0.102 	 359.8 	 -0.0 	 -0.0 	 0.1 	 73 
0.103 	 359.8 	 -0.0 	 -0.0 	 0.1 	 73 
0.111 	 359.8 	 -0.0 	 -0.0 	 0.1 	 73 
0.115 	 359.8 	 -0.0 	 -0.0 	 0.1 	 73 
0.116 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.117 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.128 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.130 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.131 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.148 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.149 	 359.8 	 -0.0 	 -0.0 	 0.1 	 73 
0.151 	 359.8 	 -0.0 	 -0.0 	 0.1 	 73 
0.152 	 359.8 	 -0.0 	 -0.0 	 0.1 	 73 
0.154 	 359.8 	 -0.0 	 -0.0 	 0.1 	 73 
0.172 	 359.8 	 -0.0 	 -0.0 	 0.1 	 73 
0.173 	 359.8 	 -0.0 	 -0.0 	 0.1 	 73 
0.176 	 359.8 	 -0.0 	 -0.0 	 0.1 	 73 
0.184 	 359.8 	 -0.0 	 -0.0 	 0.1 	 73 
0.198 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.204 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.208 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.221 	 359.8 	 -0.0 	 -0.0 	 0.3 	 73 
0.224 	 359.8 	 -0.0 	 -0.0 	 0.3 	 73 
0.246 	 359.8 	 -0.0 	 -0.0 	 0.3 	 73 
0.247 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.249 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.250 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.252 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.254 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.256 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.257 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.259 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.282 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
0.283 	 359.8 	 -0.0 	 -0.0 	 0.2 	 73 
