src 	 time 	 tahrs 	 bank 	 attitude 	 heading 	 traw 	 acc[0] 	 acc[1] 	 acc[2] 	 mag[0] 	 mag[1] 	 mag[2] 	 gyr[0] 	 gyr[1] 	 gyr[2]
1 	 1.375854 	 1978356.000000 	 -101.137573 	 -78.636147 	 311.003906 	 1978356.000000 	 -9.927721 	 -1.962000 	 0.470880 	 -0.664179 	 -0.034328 	 0.264179 	 0.002443 	 0.004887 	 0.018326
2 	 1.376339 	 1972226.000000 	 107.825478 	 -68.286705 	 200.713348 	 1972226.000000 	 -9.496080 	 3.727800 	 1.216440 	 -0.316418 	 -0.231343 	 0.877612 	 0.013439 	 0.003665 	 0.010996
1 	 1.396860 	 1978386.000000 	 -101.346016 	 -78.643509 	 310.799316 	 1978386.000000 	 -10.084681 	 -1.844280 	 0.549360 	 -0.668657 	 -0.034328 	 0.262687 	 0.000000 	 0.007330 	 0.019548
1 	 1.424641 	 1978396.000000 	 -101.390076 	 -78.646179 	 310.755737 	 1978396.000000 	 -9.966961 	 -1.883520 	 0.549360 	 -0.665672 	 -0.038806 	 0.262687 	 -0.003665 	 0.010996 	 0.018326
2 	 1.430210 	 1972286.000000 	 107.818344 	 -68.306038 	 200.716003 	 1972286.000000 	 -9.613801 	 3.610080 	 0.981000 	 -0.308955 	 -0.228358 	 0.877612 	 0.006109 	 0.003665 	 0.014661
1 	 1.452545 	 1978416.000000 	 -101.485802 	 -78.659477 	 310.672943 	 1978416.000000 	 -9.888481 	 -1.844280 	 0.470880 	 -0.668657 	 -0.037313 	 0.267164 	 0.009774 	 0.007330 	 0.020769
1 	 1.480056 	 1978436.000000 	 -101.465073 	 -78.676117 	 310.689636 	 1978436.000000 	 -9.927721 	 -1.922760 	 0.353160 	 -0.674627 	 -0.037313 	 0.276119 	 -0.003665 	 0.006109 	 0.024435
2 	 1.485287 	 1972306.000000 	 107.797302 	 -68.313538 	 200.698700 	 1972306.000000 	 -9.574560 	 3.649320 	 1.137960 	 -0.310448 	 -0.229851 	 0.891045 	 0.004887 	 0.007330 	 0.010996
1 	 1.504396 	 1978466.000000 	 -101.579887 	 -78.682106 	 310.577026 	 1978466.000000 	 -10.006201 	 -1.883520 	 0.470880 	 -0.667164 	 -0.032836 	 0.265672 	 -0.001222 	 0.007330 	 0.021991
1 	 1.527976 	 1978476.000000 	 -101.564560 	 -78.685303 	 310.594940 	 1978476.000000 	 -9.966961 	 -1.883520 	 0.392400 	 -0.670149 	 -0.032836 	 0.271642 	 0.002443 	 0.012217 	 0.015882
