time 	 pedal_angle(deg) 	 bike speed(km/h) 	 distance(m) 	 cadence(rpm) 	 power(W) 	 total_power(W) 	 HR(bpm) 
4.227 	 169.4 	 -0.0 	 -0.0 	 0.8 	 0.0 	 0.0 	 0.0 
4.227 	 170.4 	 -0.0 	 -0.0 	 1.8 	 0.0 	 0.0 	 0.0 
4.227 	 171.1 	 -0.0 	 -0.0 	 2.4 	 0.0 	 0.0 	 0.0 
4.228 	 172.4 	 -0.0 	 -0.0 	 2.4 	 0.0 	 0.0 	 0.0 
4.228 	 174.5 	 -0.0 	 -0.0 	 3.7 	 0.0 	 0.0 	 0.0 
4.229 	 182.2 	 -0.0 	 -0.0 	 6.3 	 0.0 	 0.0 	 0.0 
4.229 	 185.4 	 -0.0 	 -0.0 	 9.2 	 0.0 	 0.0 	 0.0 
4.229 	 191.1 	 -0.0 	 -0.0 	 11.2 	 0.0 	 0.0 	 0.0 
4.229 	 193.4 	 -0.0 	 -0.0 	 10.9 	 0.0 	 0.0 	 0.0 
4.230 	 199.0 	 -0.0 	 -0.0 	 11.9 	 0.0 	 0.0 	 0.0 
4.444 	 216.9 	 -0.0 	 -0.0 	 17.0 	 0.0 	 0.0 	 0.0 
4.444 	 235.5 	 -0.0 	 -0.0 	 13.1 	 0.0 	 0.0 	 0.0 
4.444 	 266.6 	 -0.0 	 -0.0 	 -1.0 	 0.0 	 0.0 	 0.0 
4.445 	 279.7 	 -0.0 	 -0.0 	 12.7 	 0.0 	 0.0 	 0.0 
4.445 	 285.6 	 -0.0 	 -0.0 	 17.7 	 0.0 	 0.0 	 0.0 
4.446 	 295.7 	 -0.0 	 -0.0 	 19.3 	 0.0 	 0.0 	 0.0 
4.446 	 299.5 	 -0.0 	 -0.0 	 17.0 	 0.0 	 0.0 	 0.0 
4.446 	 305.5 	 -0.0 	 -0.0 	 8.8 	 0.0 	 0.0 	 0.0 
4.447 	 311.5 	 -0.0 	 -0.0 	 7.9 	 0.0 	 0.0 	 0.0 
4.653 	 324.3 	 -0.0 	 -0.0 	 10.3 	 0.0 	 0.0 	 0.0 
4.653 	 329.0 	 -0.0 	 -0.0 	 13.7 	 0.0 	 0.0 	 0.0 
4.653 	 336.1 	 -0.0 	 -0.0 	 13.3 	 0.0 	 0.0 	 0.0 
4.653 	 342.2 	 -0.0 	 -0.0 	 7.7 	 0.0 	 0.0 	 0.0 
4.654 	 345.5 	 -0.0 	 -0.0 	 1.6 	 0.0 	 0.0 	 0.0 
4.654 	 350.7 	 -0.0 	 -0.0 	 -19.4 	 0.0 	 0.0 	 0.0 
4.654 	 355.6 	 -0.0 	 -0.0 	 -37.5 	 0.0 	 0.0 	 0.0 
4.654 	 356.9 	 -0.0 	 -0.0 	 -32.1 	 0.0 	 0.0 	 0.0 
4.655 	 0.5 	 -0.0 	 -0.0 	 -6.3 	 0.0 	 0.0 	 0.0 
4.655 	 4.5 	 -0.0 	 -0.0 	 12.7 	 0.0 	 0.0 	 0.0 
4.888 	 8.6 	 -0.0 	 -0.0 	 9.9 	 0.0 	 0.0 	 0.0 
4.889 	 11.7 	 -0.0 	 -0.0 	 12.1 	 0.0 	 0.0 	 0.0 
4.889 	 13.3 	 -0.0 	 -0.0 	 14.4 	 0.0 	 0.0 	 0.0 
4.890 	 17.3 	 -0.0 	 -0.0 	 4.1 	 0.0 	 0.0 	 0.0 
4.890 	 19.5 	 -0.0 	 -0.0 	 -0.6 	 0.0 	 0.0 	 0.0 
4.890 	 20.3 	 -0.0 	 -0.0 	 -2.1 	 0.0 	 0.0 	 0.0 
4.890 	 21.9 	 -0.0 	 -0.0 	 -4.4 	 0.0 	 0.0 	 0.0 
4.891 	 23.2 	 -0.0 	 -0.0 	 -4.4 	 0.0 	 0.0 	 0.0 
4.891 	 23.8 	 -0.0 	 -0.0 	 -0.2 	 0.0 	 0.0 	 0.0 
4.891 	 24.2 	 -0.0 	 -0.0 	 0.2 	 0.0 	 0.0 	 0.0 
5.093 	 25.6 	 -0.0 	 -0.0 	 -0.5 	 0.0 	 0.0 	 0.0 
5.093 	 26.7 	 -0.0 	 -0.0 	 -0.8 	 0.0 	 0.0 	 0.0 
5.094 	 28.0 	 -0.0 	 -0.0 	 0.9 	 0.0 	 0.0 	 0.0 
5.094 	 30.0 	 -0.0 	 -0.0 	 3.3 	 0.0 	 0.0 	 0.0 
5.094 	 31.3 	 -0.0 	 -0.0 	 2.8 	 0.0 	 0.0 	 0.0 
5.095 	 31.6 	 -0.0 	 -0.0 	 2.2 	 0.0 	 0.0 	 0.0 
5.095 	 31.9 	 -0.0 	 -0.0 	 1.3 	 0.0 	 0.0 	 0.0 
5.095 	 32.1 	 -0.0 	 -0.0 	 -0.9 	 0.0 	 0.0 	 0.0 
5.096 	 32.1 	 -0.0 	 -0.0 	 -1.1 	 0.0 	 0.0 	 0.0 
5.096 	 31.9 	 -0.0 	 -0.0 	 -0.7 	 0.0 	 0.0 	 0.0 
5.310 	 30.8 	 -0.0 	 -0.0 	 0.6 	 0.0 	 0.0 	 0.0 
5.310 	 30.3 	 -0.0 	 -0.0 	 0.5 	 0.0 	 0.0 	 0.0 
5.310 	 28.3 	 -0.0 	 -0.0 	 0.3 	 0.0 	 0.0 	 0.0 
5.311 	 24.5 	 -0.0 	 -0.0 	 2.7 	 0.0 	 0.0 	 0.0 
5.311 	 22.3 	 -0.0 	 -0.0 	 2.7 	 0.0 	 0.0 	 0.0 
5.311 	 17.0 	 -0.0 	 -0.0 	 0.4 	 0.0 	 0.0 	 0.0 
5.311 	 10.4 	 -0.0 	 -0.0 	 -1.0 	 0.0 	 0.0 	 0.0 
5.312 	 7.1 	 -0.0 	 -0.0 	 -1.7 	 0.0 	 0.0 	 0.0 
5.312 	 359.7 	 -0.0 	 -0.0 	 -2.5 	 0.0 	 0.0 	 0.0 
5.312 	 353.4 	 -0.0 	 -0.0 	 2.5 	 0.0 	 0.0 	 0.0 
5.538 	 339.9 	 -0.0 	 -0.0 	 -6.0 	 0.0 	 0.0 	 0.0 
5.538 	 331.1 	 -0.0 	 -0.0 	 1.3 	 0.0 	 0.0 	 0.0 
5.538 	 325.0 	 -0.0 	 -0.0 	 2.2 	 0.0 	 0.0 	 0.0 
5.539 	 321.7 	 -0.0 	 -0.0 	 2.4 	 0.0 	 0.0 	 0.0 
5.539 	 314.2 	 -0.0 	 -0.0 	 4.4 	 0.0 	 0.0 	 0.0 
5.539 	 306.1 	 -0.0 	 -0.0 	 5.6 	 0.0 	 0.0 	 0.0 
5.539 	 292.9 	 -0.0 	 -0.0 	 5.0 	 0.0 	 0.0 	 0.0 
5.540 	 288.7 	 -0.0 	 -0.0 	 6.9 	 0.0 	 0.0 	 0.0 
5.540 	 280.6 	 -0.0 	 -0.0 	 12.1 	 0.0 	 0.0 	 0.0 
5.540 	 255.6 	 -0.0 	 -0.0 	 7.9 	 0.0 	 0.0 	 0.0 
5.739 	 240.6 	 -0.0 	 -0.0 	 9.6 	 0.0 	 0.0 	 0.0 
5.739 	 237.9 	 -0.0 	 -0.0 	 6.1 	 0.0 	 0.0 	 0.0 
5.740 	 233.2 	 -0.0 	 -0.0 	 -3.8 	 0.0 	 0.0 	 0.0 
5.740 	 228.9 	 -0.0 	 -0.0 	 -9.7 	 0.0 	 0.0 	 0.0 
5.740 	 222.1 	 -0.0 	 -0.0 	 -9.6 	 0.0 	 0.0 	 0.0 
5.740 	 219.4 	 -0.0 	 -0.0 	 -11.1 	 0.0 	 0.0 	 0.0 
5.741 	 213.3 	 -0.0 	 -0.0 	 -11.7 	 0.0 	 0.0 	 0.0 
5.741 	 206.9 	 -0.0 	 -0.0 	 -6.5 	 0.0 	 0.0 	 0.0 
5.741 	 200.5 	 -0.0 	 -0.0 	 -0.8 	 0.0 	 0.0 	 0.0 
5.742 	 198.8 	 -0.0 	 -0.0 	 1.3 	 0.0 	 0.0 	 0.0 
5.956 	 195.4 	 -0.0 	 -0.0 	 2.8 	 0.0 	 0.0 	 0.0 
5.956 	 191.7 	 -0.0 	 -0.0 	 3.2 	 0.0 	 0.0 	 0.0 
5.956 	 186.2 	 -0.0 	 -0.0 	 0.2 	 0.0 	 0.0 	 0.0 
5.956 	 184.9 	 -0.0 	 -0.0 	 -1.6 	 0.0 	 0.0 	 0.0 
5.957 	 182.7 	 -0.0 	 -0.0 	 -8.5 	 0.0 	 0.0 	 0.0 
5.957 	 177.2 	 -0.0 	 -0.0 	 -6.5 	 0.0 	 0.0 	 0.0 
5.957 	 172.4 	 -0.0 	 -0.0 	 -0.4 	 0.0 	 0.0 	 0.0 
5.958 	 169.8 	 -0.0 	 -0.0 	 2.6 	 0.0 	 0.0 	 0.0 
5.958 	 162.6 	 -0.0 	 -0.0 	 18.5 	 0.0 	 0.0 	 0.0 
5.958 	 158.5 	 -0.0 	 -0.0 	 17.8 	 0.0 	 0.0 	 0.0 
6.184 	 130.6 	 -0.0 	 -0.0 	 12.4 	 0.0 	 0.0 	 0.0 
6.184 	 119.4 	 -0.0 	 -0.0 	 14.3 	 0.0 	 0.0 	 0.0 
6.184 	 109.5 	 -0.0 	 -0.0 	 9.0 	 0.0 	 0.0 	 0.0 
6.185 	 98.8 	 -0.0 	 -0.0 	 3.0 	 0.0 	 0.0 	 0.0 
6.185 	 95.8 	 -0.0 	 -0.0 	 5.7 	 0.0 	 0.0 	 0.0 
6.185 	 88.1 	 -0.0 	 -0.0 	 13.1 	 0.0 	 0.0 	 0.0 
6.185 	 80.3 	 -0.0 	 -0.0 	 13.6 	 0.0 	 0.0 	 0.0 
6.186 	 65.8 	 -0.0 	 -0.0 	 8.9 	 0.0 	 0.0 	 0.0 
6.186 	 57.7 	 -0.0 	 -0.0 	 11.1 	 0.0 	 0.0 	 0.0 
6.396 	 39.6 	 -0.0 	 -0.0 	 39.6 	 0.0 	 0.0 	 0.0 
6.397 	 36.7 	 -0.0 	 -0.0 	 42.7 	 0.0 	 0.0 	 0.0 
6.397 	 30.7 	 -0.0 	 -0.0 	 33.5 	 0.0 	 0.0 	 0.0 
6.397 	 27.4 	 -0.0 	 -0.0 	 24.5 	 0.0 	 0.0 	 0.0 
